"","x"
"1091_at",0.053318041740388
"1092_at",0.022412377976293
"1093_at",0.25645849253428
"1094_g_at",0.0408212884743655
"1095_s_at",-0.00501690585921954
"1096_g_at",0.224544635839704
"1097_s_at",0.196996299545529
"1098_at",-0.0214654814420179
"1099_s_at",-0.131858783253223
"110_at",-0.154474845041422
"1100_at",0.232299304087572
"1101_at",-0.0877671156384423
"1102_s_at",-0.0888864919312065
"1103_at",-0.540267417460083
"1104_s_at",0.505193431486941
"1105_s_at",-1.83797409257392
"1106_s_at",0.0942448647661474
"1107_s_at",0.0554684239272909
"1108_s_at",-0.11042873951013
"1109_s_at",0.00135037281871231
"111_at",-0.00362817190792608
"1110_at",0.121280022135817
"1111_at",-0.0567663310375774
"1112_g_at",-0.0102652157071876
"1113_at",-0.198814328549566
"1114_at",-0.207639056468538
"1115_at",0.367473797358638
"1116_at",0.318702393001544
"1117_at",-0.0347176623484415
"1118_at",0.0199111631957747
"1119_at",0.320679989614263
"112_g_at",0.277134679831473
"1120_at",0.0212403705318289
"1121_g_at",0.0126592867469268
"1122_f_at",0.264498179292394
"1123_at",0.194557204407975
"1124_at",0.133608893831005
"1125_s_at",-0.417935315472018
"1126_s_at",-2.04899072190253
"1127_at",0.0546601530911985
"1128_s_at",0.0987980392463239
"1129_at",0.324007138152137
"113_i_at",0.371826337925382
"1130_at",-0.101771102933649
"1131_at",0.0538795658189066
"1132_s_at",0.0118440078236288
"1133_at",-0.00312481576416879
"1134_at",-0.0905470355814213
"1135_at",-0.394676102716323
"1136_at",0.12727394624824
"1137_at",-0.0775948012187087
"1138_at",0.0637015945094799
"1139_at",-0.1403120440457
"114_r_at",0.0960899020160504
"1140_at",0.150099890328219
"1141_at",0.189886064378251
"1142_at",0.173719220457388
"1143_s_at",0.0753078944367376
"1144_at",0.151665448695976
"1145_g_at",0.024656740147627
"1146_at",0.0476795779807002
"1147_at",-0.769563878801211
"1148_s_at",0.209476384957292
"1149_at",0.0942745399451734
"115_at",-0.102900054948028
"1150_at",0.056619618008396
"1151_at",0.241979610474734
"1152_i_at",0.203808280703779
"1153_f_at",0.127072596007542
"1154_at",0.311507237242884
"1155_at",-0.0541100352234674
"1156_at",0.18144993290545
"1157_s_at",0.0180273879111965
"1158_s_at",-0.165502804225007
"1159_at",-0.0446221686700508
"116_at",0.106014809095429
"1160_at",0.399097917972776
"1161_at",-0.0160175399994138
"1162_g_at",0.0607964333881075
"1163_at",0.278221930368019
"1164_at",0.148643100696943
"1165_at",0.288211605673013
"1166_at",0.093282370049991
"1167_s_at",-0.0460827108977373
"1168_at",0.262388058531886
"1169_at",0.153084845680003
"117_at",0.163460235900031
"1170_at",0.0269236246879467
"1171_s_at",-0.0649353389691258
"1172_at",0.0836381175115744
"1173_g_at",-0.341029414802399
"1174_at",0.296150615193719
"1175_s_at",0.24771487345415
"1176_at",0.0306746267656894
"1177_at",0.0456484118403404
"1178_at",-0.153375271128747
"1179_at",-0.00243857522348456
"118_at",0.258803128563539
"1180_g_at",0.125216985295879
"1181_at",0.0228190666518939
"1182_at",0.43519340262674
"1183_at",0.217747488127634
"1184_at",-0.153061984143918
"1185_at",0.0498914465179219
"1186_at",0.0844021600908014
"1187_at",0.114103043764006
"1188_g_at",0.287358723064235
"1189_at",0.156902831241406
"1190_at",0.0719672420432746
"1191_s_at",0.249338451684196
"1192_at",0.157255531851137
"1193_at",-0.00467766250690094
"1194_g_at",0.0354820008840466
"1195_s_at",0.0670662019269344
"1196_at",0.1915894969652
"1197_at",-0.062628531650156
"1198_at",-0.123490655017646
"1199_at",-0.101185088346019
"120_at",-0.470778619632845
"1200_at",0.180905209442313
"1201_at",0.00378185672721276
"1202_g_at",0.062065978571054
"1203_at",0.230485400570689
"1204_at",0.186085884126168
"1205_at",0.412449873600383
"1206_at",-0.00891448298750941
"1207_at",0.335991353534075
"1208_at",0.0344769327633596
"1209_at",0.0773692837439022
